"","satisfaction_aadhaar","state","Freq","Percent"
"1","Don't Know","Andhra Pradesh",0,0
"2","Neither satisfied nor unsatisfied","Andhra Pradesh",791629.152508363,0.0132918250105498
"3","No Response","Andhra Pradesh",0,0
"4","Somewhat satisfied","Andhra Pradesh",29829418.6445257,0.500849939056884
"5","Somewhat unsatisfied","Andhra Pradesh",271375.523196908,0.00455652240073559
"6","Very satisfied","Andhra Pradesh",28656249.5827504,0.481151879899388
"7","Very unsatisfied","Andhra Pradesh",8923.73104323435,0.000149833632442722
"8","Don't Know","Assam",56085.5737844291,0.0154223471951877
"9","Neither satisfied nor unsatisfied","Assam",826291.224682282,0.22721261977933
"10","No Response","Assam",1587.23059833877,0.000436454862002358
"11","Somewhat satisfied","Assam",1027358.86123657,0.28250196945372
"12","Somewhat unsatisfied","Assam",124163.914437771,0.0341424517636748
"13","Very satisfied","Assam",1601156.37768938,0.440284156946085
"14","Very unsatisfied","Assam",0,0
"15","Don't Know","Bihar",66934.3908068478,0.000627152763142433
"16","Neither satisfied nor unsatisfied","Bihar",2515653.86387374,0.0235708318671505
"17","No Response","Bihar",6900.9470814472,6.46595565935373e-05
"18","Somewhat satisfied","Bihar",23505391.6429625,0.220237625829275
"19","Somewhat unsatisfied","Bihar",4319225.87070602,0.0404696958737754
"20","Very satisfied","Bihar",76242046.8648123,0.714362374595783
"21","Very unsatisfied","Bihar",71257.5714900413,0.000667659514281063
"22","Don't Know","Chandigarh",3219.90089377274,0.00232018561484919
"23","Neither satisfied nor unsatisfied","Chandigarh",45078.6125128183,0.0324825986078886
"24","No Response","Chandigarh",0,0
"25","Somewhat satisfied","Chandigarh",180314.450051273,0.129930394431555
"26","Somewhat unsatisfied","Chandigarh",9659.70268131821,0.00696055684454756
"27","Very satisfied","Chandigarh",1149504.61907687,0.82830626450116
"28","Very unsatisfied","Chandigarh",0,0
"29","Don't Know","Chhattisgarh",16680.9274952811,0.000544215459446054
"30","Neither satisfied nor unsatisfied","Chhattisgarh",784343.938918928,0.0255892304071967
"31","No Response","Chhattisgarh",3752.38694992542,0.000122421669211783
"32","Somewhat satisfied","Chhattisgarh",15638075.3928885,0.510192397107437
"33","Somewhat unsatisfied","Chhattisgarh",138545.465740538,0.00452004748018263
"34","Very satisfied","Chhattisgarh",14039003.810002,0.458022667551698
"35","Very unsatisfied","Chhattisgarh",30927.8146873136,0.00100902032482788
"36","Don't Know","Delhi",0,0
"37","Neither satisfied nor unsatisfied","Delhi",105242.091021108,0.00542749260275917
"38","No Response","Delhi",0,0
"39","Somewhat satisfied","Delhi",4109241.351426,0.211919744480785
"40","Somewhat unsatisfied","Delhi",0,0
"41","Very satisfied","Delhi",15176071.0407789,0.782652762916455
"42","Very unsatisfied","Delhi",0,0
"43","Don't Know","Goa",3678.25042850904,0.00252502941154297
"44","Neither satisfied nor unsatisfied","Goa",297357.413108624,0.204128628116264
"45","No Response","Goa",0,0
"46","Somewhat satisfied","Goa",899542.762752776,0.617514216891444
"47","Somewhat unsatisfied","Goa",200822.132532986,0.137859507119017
"48","Very satisfied","Goa",42947.705425849,0.0294825546727414
"49","Very unsatisfied","Goa",12367.6107007556,0.00849006378898995
"50","Don't Know","Gujarat",0,0
"51","Neither satisfied nor unsatisfied","Gujarat",0,0
"52","No Response","Gujarat",0,0
"53","Somewhat satisfied","Gujarat",7783176.29922364,0.118061285955366
"54","Somewhat unsatisfied","Gujarat",2819.11784061277,4.27625772212892e-05
"55","Very satisfied","Gujarat",58070576.4668795,0.880859776301492
"56","Very unsatisfied","Gujarat",68309.7251395633,0.00103617516592023
"57","Don't Know","Haryana",0,0
"58","Neither satisfied nor unsatisfied","Haryana",221573.238280396,0.0083144494510879
"59","No Response","Haryana",0,0
"60","Somewhat satisfied","Haryana",8858367.78302658,0.332406800219774
"61","Somewhat unsatisfied","Haryana",57901.6478384015,0.00217273677914954
"62","Very satisfied","Haryana",17497575.7435455,0.656589713475171
"63","Very unsatisfied","Haryana",13758.9722776901,0.000516300074817726
"64","Don't Know","Himachal Pradesh",0,0
"65","Neither satisfied nor unsatisfied","Himachal Pradesh",13565.5033809488,0.00153677852385033
"66","No Response","Himachal Pradesh",12670.4893759563,0.00143538617129308
"67","Somewhat satisfied","Himachal Pradesh",1271436.96848316,0.14403571859621
"68","Somewhat unsatisfied","Himachal Pradesh",0,0
"69","Very satisfied","Himachal Pradesh",7529560.87266402,0.852992116708646
"70","Very unsatisfied","Himachal Pradesh",0,0
"71","Don't Know","Jammu and Kashmir",63485.1561825326,0.00682869603909136
